zip,cbsa
00612,11640
00627,11640
00638,41980
00676,10380
00719,41980
00730,38660
00757,42180
00772,41980
00783,41980
00784,25020
00791,41980
00792,41980
00901,41980
00925,41980
00926,41980
00966,41980
00970,41980
01501,49340
01463,14460
01505,49340
01524,49340
01540,49340
01570,49340
01583,49340
01590,49340
01603,49340
01719,14460
01756,49340
01773,14460
01778,14460
01851,14460
01867,14460
01921,14460
01984,14460
02045,14460
02054,14460
02072,14460
02114,14460
02120,14460
02121,14460
02180,14460
02199,14460
02330,14460
02370,14460
02476,14460
02537,12700
02559,12700
02584,99999
02657,12700
03109,31700
03104,31700
03244,17200
03216,18180
03062,31700
03101,31700
03071,31700
03087,14460
03082,31700
03053,14460
03047,31700
03055,31700
03042,14460
03033,31700
03057,31700
03043,31700
03451,28300
03447,28300
03269,29060
03446,28300
03867,14460
03870,14460
03860,99999
03820,14460
03848,14460
03819,14460
03830,99999
03465,28300
03582,13620
03593,13620
03753,17200
04055,38860
04250,30340
04282,30340
04238,99999
04106,38860
04074,38860
04073,38860
04345,12300
04414,99999
04357,38860
04756,99999
04862,99999
04785,99999
04860,99999
04841,99999
04760,99999
04627,99999
04614,99999
04668,99999
04538,99999
04450,12620
04535,99999
04456,12620
04495,12620
04419,12620
04441,99999
04963,12300
04976,99999
05001,17200
04930,99999
04961,99999
05408,15540
05452,15540
05448,15540
05455,15540
05403,15540
05252,13540
05253,13540
05341,99999
05345,99999
05363,99999
05045,17200
05089,17200
05156,17200
05046,99999
05055,17200
05043,17200
05068,17200
05483,15540
05641,17200
05620,12740
05476,99999
05650,12740
05855,99999
01001,44140
05867,99999
05871,99999
05751,40860
05847,99999
05774,40860
05735,40860
05680,99999
05674,12740
02719,39300
01344,24640
01360,24640
01341,24640
01376,24640
01240,38340
01266,38340
01247,38340
01139,44140
02738,14460
02747,39300
02863,39300
02858,39300
02816,39300
02822,39300
02780,39300
02762,14460
02891,39300
06019,25540
06018,45860
02908,39300
06078,25540
06043,25540
06266,49340
06250,25540
06108,25540
06092,25540
06405,35300
06390,35620
06375,35980
06514,35300
06516,35300
06498,25540
06478,35300
06468,14860
06443,35300
06525,35300
06518,35300
06530,35300
06830,14860
06870,14860
06784,14860
06759,45860
06903,14860
06906,14860
07044,35620
07032,35620
07018,35620
07058,35620
07062,35620
07105,35620
07109,35620
07094,35620
07079,35620
07069,35620
07077,35620
07508,35620
07522,35620
07544,35620
07439,35620
07428,35620
07306,35620
07403,35620
07643,35620
07626,35620
07871,35620
07936,35620
07830,35620
07825,10900
07652,35620
08812,35620
07701,35620
08906,35620
08876,35620
08863,35620
08830,35620
07720,35620
08008,35620
08005,35620
08010,37980
07740,35620
07732,35620
08054,37980
08225,12100
08063,37980
08066,37980
08244,12100
08302,47220
08270,12100
08618,45940
08648,45940
08611,45940
08401,12100
08360,47220
08735,35620
19801,37980
19714,37980
08757,35620
19939,41540
19950,20100
19971,41540
19950,41540
10011,35620
10009,35620
10007,35620
10018,35620
10032,35620
10028,35620
10021,35620
10461,35620
10163,35620
10169,35620
10118,35620
10466,35620
10579,35620
10541,35620
10512,35620
10514,35620
10520,35620
10530,35620
10546,35620
10471,35620
10502,35620
10507,35620
10589,35620
10701,35620
10595,35620
10606,35620
10956,35620
10962,35620
10950,35620
10941,35620
10917,35620
10940,35620
10920,35620
10928,35620
10921,35620
12404,28740
10992,35620
10990,35620
12402,28740
12590,35620
12723,99999
12571,35620
12594,35620
12582,35620
12564,35620
12524,35620
12529,26460
12498,28740
12790,99999
11103,35620
11042,35620
11004,35620
11210,35620
11223,35620
11360,35620
11237,35620
